epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,10667.1,0.94208,1.18747,0.82843,0.00565,0.55857,0.73866,0.72485,0.75473,0.54602,0.75273,0.71622,0.75872,0.53873,0.85421,0.98208,0.74723,0.00861,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10856.5,0.94157,1.18143,0.8179,0.00562,0.55115,0.73997,0.73688,0.76358,0.55154,0.75185,0.73662,0.76681,0.54026,0.85003,0.97863,0.72597,0.00858,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11044.3,0.93073,1.16554,0.80167,0.00557,0.54033,0.76803,0.71194,0.76645,0.55081,0.77013,0.71596,0.76863,0.54322,0.85541,0.97617,0.72604,0.00864,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11234.8,0.92659,1.16396,0.80516,0.00547,0.53334,0.72999,0.72393,0.76109,0.54871,0.73785,0.72351,0.76126,0.54113,0.85326,0.97381,0.72639,0.00859,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11421.8,0.93117,1.16438,0.79923,0.00554,0.53082,0.77826,0.70918,0.76182,0.54851,0.77544,0.7108,0.76137,0.54055,0.85349,0.97314,0.73373,0.00861,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11611.1,0.92783,1.16271,0.79293,0.00553,0.53081,0.76559,0.73336,0.76806,0.55453,0.76534,0.73345,0.76853,0.54451,0.84755,0.98024,0.71308,0.00855,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11799.7,0.92578,1.15796,0.79697,0.00549,0.52289,0.80415,0.72063,0.77284,0.55819,0.80783,0.71382,0.77286,0.54783,0.84888,0.98016,0.69288,0.00855,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11988.6,0.91601,1.14477,0.77955,0.00544,0.51901,0.78521,0.72513,0.77411,0.56097,0.77683,0.7229,0.7731,0.54825,0.8475,0.98042,0.68291,0.00852,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,12177,0.91924,1.1521,0.78905,0.00539,0.51404,0.78131,0.72927,0.77494,0.56165,0.77504,0.72534,0.77017,0.54858,0.84901,0.9807,0.68989,0.00855,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12365.3,0.91135,1.13564,0.76567,0.00538,0.50237,0.77179,0.73293,0.77197,0.55904,0.7612,0.72625,0.76655,0.54524,0.84471,0.98504,0.69761,0.00849,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,12553.3,0.90913,1.14289,0.76762,0.00535,0.51287,0.77899,0.7307,0.77454,0.56243,0.77223,0.7246,0.76933,0.54826,0.84191,0.98519,0.69188,0.00844,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12744.5,0.90607,1.13488,0.75913,0.0053,0.5021,0.81337,0.70924,0.77489,0.56391,0.79904,0.7062,0.76908,0.5495,0.84222,0.98781,0.69439,0.00847,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12933.4,0.90624,1.14757,0.76423,0.00533,0.50217,0.82309,0.71257,0.77486,0.56388,0.80987,0.707,0.77039,0.54946,0.84356,0.9886,0.69339,0.00853,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,13123.5,0.89726,1.12805,0.74533,0.00529,0.49737,0.81194,0.71841,0.77627,0.56449,0.79994,0.71466,0.77193,0.55079,0.84408,0.99169,0.68694,0.00851,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13311.8,0.897,1.12342,0.7509,0.00526,0.49333,0.79263,0.73733,0.77673,0.56538,0.77155,0.73445,0.77148,0.55052,0.84538,0.9916,0.68943,0.00855,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,13499.8,0.89411,1.11894,0.74577,0.00528,0.49457,0.75966,0.75843,0.77292,0.56274,0.75262,0.75467,0.76864,0.54939,0.84949,0.99044,0.70365,0.00861,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13688.2,0.89113,1.1161,0.7383,0.00523,0.48396,0.76923,0.74874,0.77156,0.56097,0.76507,0.74319,0.76542,0.54744,0.84855,0.98949,0.71391,0.00861,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13876.1,0.88937,1.12041,0.74446,0.0052,0.48832,0.7715,0.74811,0.77222,0.56203,0.76707,0.74306,0.76652,0.54665,0.84922,0.98778,0.7053,0.00862,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
